method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value,TIE_PROP,NOT_TIE_PROP,GFR
Worst,alternating_groups,0.4164960078764892,0.0,0.0,0.7,0.30000000000000004,11.068300475058042
Fair-Break,alternating_groups,0.0008216796057638265,0.0,0.0,0.7,0.30000000000000004,11.068300475058042
Fair-Full,alternating_groups,2.8880163971060425e-05,0.9700460829493087,0.35,0.7,0.30000000000000004,11.068300475058042
VanillaMC,alternating_groups,0.0964629385228193,0.0,0.0,0.7,0.30000000000000004,11.068300475058042
FairMC,alternating_groups,0.34515990363561194,0.6451612903225806,0.20000000000000007,0.7,0.30000000000000004,11.068300475058042
EPIRA-Break,alternating_groups,0.07631959588988028,0.0,0.0,0.7,0.30000000000000004,11.068300475058042
EPIRA-Full,alternating_groups,0.046269865059384595,0.0,0.0,0.7,0.30000000000000004,11.068300475058042
Epsilon-Break,alternating_groups,0.09263471413702329,0.0,0.0,0.7,0.30000000000000004,11.068300475058042
Epsilon-Full,alternating_groups,0.023843550623768115,0.747926267281106,0.3600000000000001,0.7,0.30000000000000004,11.068300475058042
AVG,alternating_groups,0.05201581923565175,0.0,0.0,0.8,0.19999999999999996,7.591594747493064
Worst,alternating_groups,0.4164960078764892,0.0,0.0,0.8,0.19999999999999996,7.591594747493064
Fair-Break,alternating_groups,0.0002963095806166986,0.0,0.0,0.8,0.19999999999999996,7.591594747493064
Fair-Full,alternating_groups,7.48715365060231e-06,0.9047619047619048,0.18999999999999995,0.8,0.19999999999999996,7.591594747493064
VanillaMC,alternating_groups,0.012125069110696975,0.0,0.0,0.8,0.19999999999999996,7.591594747493064
FairMC,alternating_groups,0.41646470913088707,0.09523809523809523,0.019999999999999907,0.8,0.19999999999999996,7.591594747493064
EPIRA-Break,alternating_groups,0.04561677303446488,0.0,0.0,0.8,0.19999999999999996,7.591594747493064
EPIRA-Full,alternating_groups,0.07288334402364113,0.0,0.0,0.8,0.19999999999999996,7.591594747493064
Epsilon-Break,alternating_groups,0.06386917194438438,0.0,0.0,0.8,0.19999999999999996,7.591594747493064
Epsilon-Full,alternating_groups,0.058144225218155765,0.7666666666666666,0.23999999999999988,0.8,0.19999999999999996,7.591594747493064
AVG,alternating_groups,0.17392767792756642,0.0,0.0,0.9,0.09999999999999998,4.096422734764315
