method,dataset,TIE_BLOCKS,TIE_TYPE,GFR,NDKL_Value,ULOSS_Value,WULOSS_Value
FairMC,alternating_groups,3,Interleaved,14.185305453354077,0.08370757586904996,0.6837209302325582,0.5599999999999999
FairMC,alternating_groups,3,Top,15.152485370628217,0.1742783961470696,0.11627906976744184,0.050000000000000044
FairMC,alternating_groups,4,Bottom,6.0650240645732625,0.17666625941461694,0.04166666666666663,0.19999999999999996
FairMC,alternating_groups,4,Interleaved,7.220266743539598,0.17073712846808484,0.8708333333333333,0.3799999999999999
FairMC,alternating_groups,4,Top,8.375509422505933,0.1743650961307553,0.0,0.0
FairMC,alternating_groups,5,Bottom,0.0,0.04805178155656426,0.0,0.0
FairMC,alternating_groups,5,Interleaved,0.6933765542848239,0.15795932309485858,0.0,0.0
FairMC,alternating_groups,5,Top,0.0,0.04805178155656426,0.0,0.0
FairMC,skewed_groups,1,Bottom,28.41896990257186,0.1440561340997429,0.9876543209876543,0.8
FairMC,skewed_groups,1,Interleaved,28.068118422293196,0.17322277115161744,0.7901234567901234,0.8300000000000001
FairMC,skewed_groups,1,Top,28.41896990257186,0.2005051800612013,0.8475308641975309,0.8100000000000002
FairMC,skewed_groups,2,Bottom,21.834086632463748,0.14546900689192344,0.9838709677419356,0.8
FairMC,skewed_groups,2,Interleaved,21.834086632463748,0.143775232800709,0.8064516129032258,0.8800000000000001
FairMC,skewed_groups,2,Top,21.834086632463748,0.20170595736224112,0.8008064516129032,0.8100000000000002
FairMC,skewed_groups,3,Bottom,14.588297085551636,0.18103266123260228,0.9767441860465116,0.8
FairMC,skewed_groups,3,Interleaved,14.894570726021781,0.178875575422322,0.7511627906976744,0.76
FairMC,skewed_groups,3,Top,15.200844366491925,0.1781074791116889,0.5930232558139534,0.73
FairMC,skewed_groups,4,Bottom,8.028936618816033,0.17666625941461694,0.9583333333333334,0.8
FairMC,skewed_groups,4,Interleaved,8.664320092247518,0.10078343307913178,0.7958333333333333,0.78
FairMC,skewed_groups,4,Top,8.577676891325043,0.17564452177120035,0.27083333333333337,0.73
FairMC,skewed_groups,5,Bottom,1.6635494577115235,0.17666625941461694,0.7,0.7
FairMC,skewed_groups,5,Interleaved,2.081941005060066,0.16314225756897274,0.5789473684210527,0.69
FairMC,skewed_groups,5,Top,1.6635494577115235,0.17666625941461694,0.7,0.7
VanillaMC,alternating_groups,1,Bottom,27.72582429519206,0.17417221078892764,0.0,0.0
VanillaMC,alternating_groups,1,Interleaved,28.068118422293196,0.17415978806515398,0.0,0.0
VanillaMC,alternating_groups,1,Top,28.41041254939433,0.023830165178834406,0.0,0.0
VanillaMC,alternating_groups,2,Bottom,20.458975185565112,0.1736505797668672,0.0,-2.220446049250313e-16
VanillaMC,alternating_groups,2,Interleaved,21.129761257222984,0.1710026511256614,0.0,0.0
VanillaMC,alternating_groups,2,Top,21.800547328880853,0.1394969452161909,0.0,0.0
VanillaMC,alternating_groups,3,Bottom,13.218125536079937,0.17262772814321675,0.0,-2.220446049250313e-16
VanillaMC,alternating_groups,3,Interleaved,14.185305453354077,0.20640074105016834,0.0,0.0
VanillaMC,alternating_groups,3,Top,15.152485370628217,0.033128150555815625,0.0,0.0
VanillaMC,alternating_groups,4,Bottom,6.0650240645732625,0.1693857646728645,0.0,0.0
VanillaMC,alternating_groups,4,Interleaved,7.220266743539598,0.12174857824179146,0.0,0.0
VanillaMC,alternating_groups,4,Top,8.375509422505933,0.05620601622488586,0.0,0.0
VanillaMC,alternating_groups,5,Bottom,0.0,0.04692314226786828,0.0,0.0
VanillaMC,alternating_groups,5,Interleaved,0.6933765542848239,0.04908830037542256,0.0,0.0
VanillaMC,alternating_groups,5,Top,0.0,0.04692314226786828,0.0,0.0
VanillaMC,skewed_groups,1,Bottom,28.41896990257186,0.4826029492624594,0.0,0.0
VanillaMC,skewed_groups,1,Interleaved,28.068118422293196,0.44117122276586296,0.0,0.0
VanillaMC,skewed_groups,1,Top,28.41896990257186,0.4826029492624594,0.0,0.0
VanillaMC,skewed_groups,2,Bottom,21.834086632463748,0.4826029492624594,0.0,-2.220446049250313e-16
VanillaMC,skewed_groups,2,Interleaved,21.834086632463748,0.4826029492624594,0.0,0.0
VanillaMC,skewed_groups,2,Top,21.834086632463748,0.4826029492624594,0.0,0.0
VanillaMC,skewed_groups,3,Bottom,14.588297085551636,0.45713785478777186,0.0,-2.220446049250313e-16
VanillaMC,skewed_groups,3,Interleaved,14.894570726021781,0.45962845777240774,0.0,0.0
VanillaMC,skewed_groups,3,Top,15.200844366491925,0.47624455119173525,0.0,0.0
VanillaMC,skewed_groups,4,Bottom,8.028936618816033,0.4556457073519167,0.0,0.0
VanillaMC,skewed_groups,4,Interleaved,8.664320092247518,0.4826029492624594,0.0,0.0
VanillaMC,skewed_groups,4,Top,8.577676891325043,0.4480178948183527,0.0,0.0
VanillaMC,skewed_groups,5,Bottom,1.6635494577115235,0.46265596758425176,0.0,0.0
VanillaMC,skewed_groups,5,Interleaved,2.081941005060066,0.44486636918190553,0.0,0.0
VanillaMC,skewed_groups,5,Top,1.6635494577115235,0.46265596758425176,0.0,0.0
Worst,alternating_groups,1,Bottom,27.72582429519206,0.1743650961307553,0.0,0.0
Worst,alternating_groups,1,Interleaved,28.068118422293196,0.1743650961307553,0.0,0.0
Worst,alternating_groups,1,Top,28.41041254939433,0.1743650961307553,0.0,0.0
Worst,alternating_groups,2,Bottom,20.458975185565112,0.1743650961307553,0.0,-2.220446049250313e-16
Worst,alternating_groups,2,Interleaved,21.129761257222984,0.1743650961307553,0.0,0.0
Worst,alternating_groups,2,Top,21.800547328880853,0.1743650961307553,0.0,0.0
Worst,alternating_groups,3,Bottom,13.218125536079937,0.1743650961307553,0.0,-2.220446049250313e-16
Worst,alternating_groups,3,Interleaved,14.185305453354077,0.2690531433479058,0.0,0.0
